town_centre,borough,classification_lp2016,restaurants_cafes,public_houses_other_drinking,hot_food_takeaways,hotels,art_galleries_museums,cinema,theatres,night_clubs,total_nte
West End,Westminster/Camden,International,0.089764644,0.069749208,0.03825361,0.120298837,0.247,0.025802058,0.347129506,0.047491383,0.082656795
Knightsbridge,Kensington and Chelsea/Westminster,International,0.005502946,0.002994697,0.001907669,0.023346634,0,0,0,0,0.00451397
Bromley,Bromley,Metropolitan,0.011141614,0.014755687,0.008988677,0,0,0.011501211,0.016021362,0.021447721,0.011704716
Croydon,Croydon,Metropolitan,0.011770875,0.015626872,0.013871016,0.025978436,0.118,0.01407385,0,0.055534278,0.014832949
Ealing,Ealing,Metropolitan,0.016730929,0.015790219,0.016231352,0.004924017,0,0,0,0.011489851,0.014020369
Shepherds Bush,Hammersmith and Fulham,Metropolitan,0.016582868,0.008847967,0.012804015,0.016554886,0,0.104494552,0.024165554,0,0.018719451
Wood Green,Haringey,Metropolitan,0.004899596,0.008031232,0.012351347,0,0,0.037227603,0,0,0.00840095
Harrow,Harrow,Metropolitan,0.00768685,0.007405068,0.008115676,0.008150098,0,0.037984262,0,0,0.009100165
Romford,Havering,Metropolitan,0.009611647,0.014510667,0.01141368,0.013243909,0.061,0.082400121,0,0.068173114,0.01662047
Uxbridge,Hillingdon,Metropolitan,0.007538789,0.006016618,0.008503676,0.008659479,0,0.035411622,0,0.038682497,0.008969258
Hounslow,Hounslow,Metropolitan,0.0052315,0.005145433,0.00853601,0.016300195,0,0,0.039919893,0.000382995,0.007032776
Kingston,Kingston upon Thames,Metropolitan,0.014621056,0.019002712,0.009376677,0.007470923,0.057,0.061819007,0.019492657,0.144772118,0.019667388
Stratford,Newham,Metropolitan,0.014793794,0.023331409,0.015358351,0.007470923,0,0.014906174,0.027102804,0.001148985,0.017509675
Ilford,Redbridge,Metropolitan,0.010475339,0.005036535,0.011381346,0.008319891,0,0.006658596,0.014152203,0.004978935,0.008468205
Sutton,Sutton,Metropolitan,0.007748543,0.01290442,0.009894011,0.009678241,0,0.037151937,0,0.054002298,0.011862709
Barking,Barking and Dagenham,Major,0.005157469,0.005444903,0.006660674,0.002801596,0,0,0.017890521,0,0.005376137
Edgware,Barnet/Harrow,Major,0.0055523,0.002586329,0.004332672,0,0,0,0,0,0.003493806
Bexleyheath,Bexley,Major,0.007304359,0.007867885,0.004009338,0.042533322,0,0.011122881,0,0.013404826,0.008924123
Wembley,Brent,Major,0.004700947,0.005744373,0.008180343,0.014941846,0,0,0,0,0.005561208
Kilburn,Brent/Camden,Major,0.006490021,0.009229111,0.010152678,0.013413702,0,0.010820218,0,0,0.008210908
Orpington,Bromley,Major,0.006761467,0.003294166,0.00604634,0,0,0.001059322,0,0,0.004473337
Camden Town,Camden,Major,0.013831395,0.023794226,0.007695342,0.00297139,0.003,0.001740315,0.028971963,0.084258905,0.016272847
Southall,Ealing,Major,0.003393072,0.001279552,0.008245009,0.002377112,0,0,0,0,0.002943105
Enfield Town,Enfield,Major,0.004503532,0.003457513,0.002457336,0,0,0,0,0,0.003137204
Eltham,Greenwich,Major,0.003738548,0.005172658,0.005496673,0,0,0,0,0,0.003850412
Woolwich,Greenwich,Major,0.003590487,0.004682617,0.008277343,0.019696069,0,0,0.013618158,0,0.005529619
Dalston,Hackney,Major,0.007094605,0.002205186,0.004235671,0,0,0.00348063,0.012817089,0.00306396,0.004595218
Fulham,Hammersmith and Fulham,Major,0.006156883,0.006778904,0.005270339,0.005178708,0,0.035865617,0,0,0.00765118
Hammersmith,Hammersmith and Fulham,Major,0.007403066,0.009882499,0.008600676,0.023261737,0,0.015814165,0.040320427,0,0.010729719
Chiswick,Hounslow,Major,0.00856288,0.008575722,0.002425003,0,0,0,0,0,0.006315034
Angel,Islington,Major,0.019062895,0.016062464,0.006531341,0.03073266,0.07,0.035714286,0.029906542,0,0.018304181
Nags Head,Islington,Major,0.0055523,0.007160047,0.006693008,0.005263605,0,0.018008475,0,0,0.006694216
Kensington High Street ,Kensington and Chelsea,Major,0.00824208,0.004247024,0.00307167,0.008999066,0,0.013392857,0,0,0.006129966
King's Road (east),Kensington and Chelsea,Major,0.003861933,0,0.000776001,0.002801596,0.313,0.000605327,0.003070761,0.002680965,0.003254707
Brixton,Lambeth,Major,0.008488849,0.007377844,0.00585234,0.00135835,0,0.002345642,0,0.065875144,0.007357758
Streatham,Lambeth,Major,0.009019402,0.011352623,0.009861678,0,0,0.015511501,0,0.006510915,0.009443217
Catford,Lewisham,Major,0.004293778,0.004083677,0.007113341,0,0,0,0.020961282,0,0.004626821
Lewisham,Lewisham,Major,0.003504118,0.005036535,0.009024244,0,0,0,0,0,0.004211981
Wimbledon,Merton,Major,0.007427743,0.017723159,0.006596007,0,0,0.002118644,0.016955941,0.012638836,0.010364066
East Ham,Newham,Major,0.002331966,0.002314084,0.010346678,0,0,0,0,0,0.003064983
Richmond,Richmond upon Thames,Major,0.008316111,0.015463525,0.00316867,0.008319891,0,0.012257869,0.003871829,0.00459594,0.009971353
Peckham,Southwark,Major,0.00111046,0.002913023,0.009991011,0,0,0.014906174,0,0.00612792,0.00372854
Canary Wharf,Tower Hamlets,Major,0.023714488,0.013394461,0.006208007,0.008659479,0,0.018916465,0,0,0.015573173
Walthamstow,Waltham Forest,Major,0.007045251,0.004600943,0.011769347,0.00483912,0,0.013544189,0,0,0.006811576
Clapham Junction,Wandsworth,Major,0.006119868,0.01181544,0.004591339,0.002377112,0,0,0.036048064,0.040980467,0.008626197
Putney,Wandsworth,Major,0.007378389,0.009583029,0.00624034,0.004159946,0,0.010063559,0.006008011,0,0.007773052
Tooting,Wandsworth,Major,0.004626916,0.007922334,0.006531341,0,0,0,0,0,0.005231685
Wandsworth,Wandsworth,Major,0.004059348,0.001742369,0.005076339,0.012310043,0,0.003026634,0,0,0.003606662
Queensway/ Westbourne Grove,Westminster/ Kensington and Chelsea,Major,0.007032913,0.002722452,0.001584335,0,0,0.027618039,0,0,0.005344539
